employee_id,first_name,last_name,gender,state,city,education_level,birthdate,hiredate,termdate,department,job_title,salary,performance_rating,overtime
00-73038607,Pranay,Talwar,Female,Karnataka,Mysuru,High School,8/21/2001,1/28/2024,,Customer Service,Help Desk Technician,388950,Satisfactory,Yes
00-97043518,Chirag,Chaudhary,Female,Maharashtra,Mumbai,High School,12/8/1979,11/25/2018,,Operations,Inventory Specialist,280248,Good,No
00-95035920,Ahana ,Tailor,Male,Madhya Pradesh,Gwalior,High School,3/19/1986,2/16/2023,,Operations,Inventory Specialist,247405,Good,No
00-87662596,Zoya,Gandhi,Male,Maharashtra,Nagpur,Bachelor,2/2/1985,2/14/2020,,Sales,Sales Representative,529545,Good,Yes
00-97734815,Anahi,Bakshi,Female,Maharashtra,Pune,Master,10/10/1983,3/3/2018,,Sales,Sales Consultant,867346,Satisfactory,No
00-20447168,Kaira,Kalita,Male,Maharashtra,Pune,Bachelor,4/20/1977,10/26/2020,,Marketing,Content Creator,381478,Good,No
00-79306247,Vivaan,Kothari,Male,Maharashtra,Nagpur,Bachelor,3/12/1988,1/11/2019,,Finance,Accountant,415699,Good,No
00-74707720,Pihu,Kala,Male,Maharashtra,Mumbai,Bachelor,9/27/1980,3/4/2023,,Operations,Operations Manager,1377618,Good,No
00-28652010,Lakshit,Chander,Male,Rajasthan,Jodhpur,PhD,3/11/1981,4/11/2019,,Sales,Sales Specialist,644141,Good,No
00-79060560,Alia,Wagle,Female,Maharashtra,Pune,Bachelor,12/23/2002,2/24/2021,,IT,Software Developer,987324,Satisfactory,No
00-35086055,Mannat,Rao,Male,Maharashtra,Pune,PhD,11/6/1981,8/13/2017,,IT,IT Manager,1247079,Satisfactory,No
00-25882013,Neelofar,Divan,Male,Maharashtra,Nagpur,Bachelor,1/14/1995,7/1/2022,,Customer Service,Help Desk Technician,459549,Good,No
00-54322017,Ira,Khatri,Male,Maharashtra,Mumbai,Bachelor,6/1/1970,1/23/2022,,Sales,Sales Representative,377612,Good,No
00-74265413,Ranbir,Handa,Male,Gujarat,Ahmedabad,Bachelor,6/9/1960,2/19/2019,,Operations,Operations Analyst,481291,Satisfactory,No
00-96873663,Krish,Rout,Male,Maharashtra,Pune,High School,10/4/1981,11/19/2023,,Customer Service,Customer Service Representative,363072,Satisfactory,Yes
00-15790734,Eshani,Dash,Female,Maharashtra,Pune,Bachelor,5/19/2001,8/18/2016,,Operations,Operations Analyst,698916,Satisfactory,Yes
00-28082355,Zaina,Magar,Male,Maharashtra,Pune,PhD,5/23/1964,10/17/2021,,Finance,Financial Analyst,577288,Good,No
00-29711900,Vaibhav,Srinivas,Male,Maharashtra,Nagpur,Master,2/9/1999,9/17/2016,,Sales,Sales Specialist,504325,Satisfactory,Yes
00-79342339,Anvi,Magar,Female,Maharashtra,Mumbai,High School,4/3/1995,10/12/2024,,Customer Service,Help Desk Technician,337081,Good,Yes
00-95580271,Shray,Mandal,Male,Maharashtra,Mumbai,Master,10/26/1999,7/2/2015,,Sales,Sales Specialist,594134,Needs Improvement,No
00-98817918,Vidur,Deshmukh,Female,Maharashtra,Nagpur,High School,9/20/1999,3/7/2023,,Operations,Inventory Specialist,231954,Satisfactory,Yes
00-70291054,Samar,Raju,Male,Maharashtra,Nagpur,PhD,10/30/1984,3/21/2021,,Customer Service,Customer Service Manager,1214479,Good,No
00-74648438,Zoya,Sood,Male,Rajasthan,Udaipur,Bachelor,10/16/1974,4/13/2017,,Customer Service,Support Specialist,341082,Satisfactory,No
00-29154498,Zoya,Keer,Female,Madhya Pradesh,Gwalior,Bachelor,2/2/1991,7/12/2023,,Sales,Sales Representative,324726,Needs Improvement,No
00-98536556,Tiya,Master,Female,Maharashtra,Pune,High School,5/6/1984,12/30/2020,,IT,IT Support Specialist,419071,Excellent,No
00-55992559,Indranil,Bedi,Male,Maharashtra,Pune,Bachelor,11/8/2003,3/31/2024,,Sales,Sales Representative,410671,Satisfactory,No
00-19239937,Nakul,Deol,Female,Madhya Pradesh,Indore,Bachelor,1/12/1994,7/14/2017,,Sales,Sales Consultant,533667,Excellent,Yes
00-24572034,Vritika,Shan,Female,Maharashtra,Pune,Master,9/14/1977,1/21/2015,,IT,Software Developer,513614,Good,Yes
00-77693989,Madhup,Mani,Female,Maharashtra,Pune,Bachelor,9/9/2000,11/5/2022,,Operations,Logistics Coordinator,295062,Good,No
00-22924976,Yasmin,Hari,Female,Rajasthan,Udaipur,Bachelor,11/28/1990,5/10/2017,,Marketing,Content Creator,518512,Good,Yes
00-15239398,Jayant,Chakrabarti,Female,Maharashtra,Mumbai,Bachelor,10/29/1984,3/28/2023,,Customer Service,Help Desk Technician,428570,Needs Improvement,No
00-25772785,Samar,Swaminathan,Male,Maharashtra,Nagpur,Bachelor,6/14/1981,9/26/2016,,Operations,Inventory Specialist,479430,Satisfactory,Yes
00-90996996,Taimur,Rajagopal,Male,Maharashtra,Mumbai,High School,3/7/1993,1/11/2020,,Customer Service,Customer Service Representative,418213,Needs Improvement,No
00-97138408,Rati,Goda,Female,Gujarat,Vadodara,Bachelor,11/27/1969,12/11/2019,,IT,System Administrator,516752,Satisfactory,No
00-15830187,Jivika,Bobal,Female,Madhya Pradesh,Indore,High School,12/1/1987,7/24/2022,,IT,IT Support Specialist,260040,Satisfactory,Yes
00-74709513,Kanav,Toor,Female,Maharashtra,Pune,Bachelor,1/14/2000,12/26/2023,,Operations,Logistics Coordinator,343370,Good,No
00-89060695,Bhamini,Madan,Male,Maharashtra,Pune,Bachelor,6/4/1992,4/23/2023,,Sales,Sales Representative,505182,Good,No
00-23115341,Ayesha,Bahl,Male,Maharashtra,Nagpur,Bachelor,3/1/2004,2/2/2019,,Finance,Accountant,648910,Satisfactory,No
00-41207351,Mehul,Ramachandran,Female,Madhya Pradesh,Bhopal,High School,8/10/1979,3/20/2024,,IT,IT Support Specialist,336728,Excellent,No
00-90301439,Eshani,Khare,Female,Maharashtra,Mumbai,Master,10/2/1990,1/1/2023,,IT,Software Developer,868838,Satisfactory,No
00-35369971,Mannat,Chaudhuri,Female,Maharashtra,Mumbai,High School,1/29/1987,10/21/2015,,Marketing,SEO Specialist,661543,Good,No
00-10954835,Shlok,Sekhon,Male,Maharashtra,Pune,High School,5/22/1992,3/5/2020,,Operations,Inventory Specialist,376508,Good,No
00-10965569,Zaina,Uppal,Male,Maharashtra,Nagpur,Bachelor,8/5/1963,11/13/2018,,Finance,Financial Analyst,793151,Satisfactory,No
00-52399610,Biju,Apte,Male,Maharashtra,Nagpur,Bachelor,11/9/1973,2/23/2019,,Customer Service,Support Specialist,363380,Satisfactory,No
00-67186360,Renee,Bobal,Female,Maharashtra,Mumbai,Bachelor,12/13/1991,10/9/2022,,Sales,Sales Representative,347772,Satisfactory,No
00-81954780,Eshani,Vasa,Male,Madhya Pradesh,Gwalior,Bachelor,8/22/2000,5/13/2019,,Customer Service,Customer Service Representative,294233,Excellent,No
00-46985109,Devansh,Grover,Male,Maharashtra,Mumbai,Bachelor,7/29/1984,9/14/2024,,Sales,Sales Representative,589282,Good,No
00-37339300,Nitara,Hora,Male,Maharashtra,Pune,PhD,10/16/1964,8/2/2019,,Sales,Sales Consultant,405897,Satisfactory,Yes
00-33987338,Shayak,Dora,Male,Gujarat,Surat,Bachelor,3/27/1992,4/28/2018,,Operations,Logistics Coordinator,445078,Satisfactory,Yes
00-44061458,Indranil,Setty,Female,Maharashtra,Mumbai,Bachelor,3/14/1976,12/12/2024,,Operations,Logistics Coordinator,276751,Satisfactory,Yes
00-63436070,Vritika,Reddy,Male,Maharashtra,Nagpur,Bachelor,12/1/1979,12/16/2022,,Finance,Accountant,879613,Excellent,No
00-40839382,Nehmat,Dutt,Male,Madhya Pradesh,Gwalior,Bachelor,3/6/1985,3/5/2019,,Operations,Logistics Coordinator,410898,Good,No
00-23459168,Jhanvi,Saran,Male,Madhya Pradesh,Bhopal,Bachelor,12/8/1994,11/20/2017,,Customer Service,Support Specialist,346898,Satisfactory,Yes
00-55424358,Mannat,Srivastava,Male,Madhya Pradesh,Bhopal,Bachelor,7/5/1970,5/10/2023,,Operations,Inventory Specialist,415238,Satisfactory,No
00-16986408,Nitya,Raja,Female,Maharashtra,Pune,PhD,6/5/1962,10/24/2017,,Sales,Sales Consultant,794556,Good,No
00-22225702,Uthkarsh,Dube,Male,Maharashtra,Pune,Bachelor,11/25/1979,9/25/2023,,IT,Software Developer,806656,Good,Yes
00-68435370,Ritvik,Bhatt,Male,Maharashtra,Nagpur,Bachelor,2/12/2000,3/5/2016,,Operations,Logistics Coordinator,354568,Satisfactory,Yes
00-59772648,Aarav,Sarna,Female,Maharashtra,Pune,Bachelor,5/22/1997,12/12/2016,,IT,IT Support Specialist,410826,Good,No
00-61583363,Vihaan,Varghese,Male,Maharashtra,Mumbai,Master,2/7/1982,12/28/2024,,Sales,Sales Specialist,567926,Satisfactory,No
00-98070348,Jiya,Babu,Female,Maharashtra,Pune,Bachelor,10/21/1986,3/7/2020,,Operations,Logistics Coordinator,522259,Good,No
00-17712557,Samar,Tailor,Male,Maharashtra,Pune,High School,11/10/1967,12/19/2024,,Customer Service,Support Specialist,351948,Good,No
00-76353000,Madhup,Reddy,Male,Maharashtra,Mumbai,Bachelor,6/28/1988,7/25/2019,,Finance,Accountant,442343,Good,No
00-98165507,Charvi,Bobal,Female,Maharashtra,Nagpur,PhD,9/20/1992,4/30/2024,,IT,IT Manager,1292576,Good,No
00-36138432,Dhanuk,Dani,Male,Maharashtra,Mumbai,High School,1/5/1989,5/7/2015,,Customer Service,Help Desk Technician,436116,Satisfactory,No
00-79231333,Samar,Chacko,Female,Maharashtra,Nagpur,PhD,10/6/1983,8/20/2022,,Finance,Finance Manager,1700559,Good,No
00-14840043,Dhruv,Tara,Male,Maharashtra,Nagpur,Bachelor,6/17/1975,9/16/2018,,Sales,Sales Representative,558359,Excellent,No
00-31131878,Navya,Sethi,Male,Maharashtra,Pune,High School,3/13/2002,11/19/2016,,Customer Service,Help Desk Technician,346330,Satisfactory,No
00-63611082,Alia,Ahluwalia,Male,Gujarat,Ahmedabad,Bachelor,9/2/1990,4/7/2018,,Operations,Logistics Coordinator,405501,Satisfactory,No
00-88662348,Nishith,Saraf,Female,Maharashtra,Mumbai,Bachelor,9/26/1984,1/25/2017,,Operations,Inventory Specialist,291837,Excellent,No
00-19209640,Onkar,Srivastava,Male,Maharashtra,Mumbai,High School,1/24/1966,2/9/2024,,Marketing,Content Creator,310940,Satisfactory,No
00-85042992,Aarav,Bajwa,Male,Maharashtra,Mumbai,High School,7/13/1981,5/20/2024,,Customer Service,Support Specialist,270556,Good,No
00-47112255,Sana,Kadakia,Female,Rajasthan,Jaipur,Bachelor,3/7/1994,12/19/2017,,Operations,Logistics Coordinator,390148,Satisfactory,No
00-64218119,Zain,Koshy,Female,Maharashtra,Pune,Bachelor,5/29/1979,11/17/2020,,Operations,Logistics Coordinator,468549,Good,No
00-64644684,Stuvan,Mahajan,Female,Maharashtra,Pune,Bachelor,8/9/1991,5/17/2020,,Sales,Sales Specialist,294624,Good,No
00-77534222,Anvi,Subramaniam,Male,Maharashtra,Mumbai,Master,8/31/1970,11/11/2017,,Operations,Operations Analyst,779663,Good,No
00-78892172,Nehmat,Sibal,Female,Maharashtra,Nagpur,Master,1/16/1999,9/7/2024,,Finance,Financial Analyst,672093,Satisfactory,No
00-87160950,Ishaan,Kara,Female,Maharashtra,Mumbai,High School,7/4/1972,1/27/2017,,Operations,Inventory Specialist,238359,Good,Yes
00-85587210,Arhaan,Din,Female,Maharashtra,Pune,High School,10/3/1988,1/8/2019,,Customer Service,Help Desk Technician,366355,Excellent,Yes
00-55588495,Pranay,Ben,Female,Maharashtra,Pune,Master,9/12/1963,1/28/2024,,Finance,Financial Analyst,749338,Good,No
00-71836850,Jayan,Wali,Female,Maharashtra,Pune,High School,4/6/1971,5/17/2023,,Customer Service,Support Specialist,259728,Excellent,No
00-25605267,Sana,Barad,Male,Maharashtra,Nagpur,Bachelor,3/3/1999,7/19/2017,,Sales,Sales Representative,414470,Good,Yes
00-39579214,Divij,Gara,Female,Madhya Pradesh,Bhopal,Bachelor,6/24/1992,8/5/2022,,Customer Service,Help Desk Technician,369828,Good,No
00-52376656,Mannat,Warrior,Male,Maharashtra,Pune,Bachelor,12/17/1970,6/25/2019,,Marketing,Marketing Coordinator,604672,Good,No
00-81893982,Aniruddh,Kale,Female,Maharashtra,Pune,Bachelor,10/15/1966,12/10/2015,,Operations,Operations Analyst,748359,Good,No
00-48559355,Ivan,Raman,Male,Madhya Pradesh,Gwalior,Bachelor,6/9/1975,11/20/2016,,Operations,Logistics Coordinator,383217,Good,Yes
00-55901507,Indranil,Bala,Male,Maharashtra,Pune,Bachelor,5/31/1985,2/6/2016,,Operations,Logistics Coordinator,395167,Satisfactory,No
00-52127291,Lagan,Chandran,Female,Maharashtra,Pune,High School,12/23/1999,5/29/2018,,Operations,Inventory Specialist,406885,Satisfactory,No
00-34532913,Ishita,Sen,Male,Madhya Pradesh,Indore,Bachelor,7/25/1993,12/3/2024,,Operations,Logistics Coordinator,506564,Satisfactory,No
00-76974557,Hrishita,Deo,Male,Maharashtra,Nagpur,High School,5/26/1973,8/29/2022,,IT,IT Support Specialist,253824,Excellent,Yes
00-42488275,Rohan,Dani,Female,Maharashtra,Nagpur,Bachelor,5/1/1992,2/4/2023,,Sales,Sales Representative,515036,Good,No
00-37214866,Vihaan,Mangal,Female,Maharashtra,Mumbai,Bachelor,7/20/1970,7/20/2023,,Sales,Sales Representative,286411,Good,No
00-30937370,Ayesha,Bose,Male,Maharashtra,Pune,Bachelor,9/13/1987,1/20/2023,,Customer Service,Support Specialist,341782,Satisfactory,No
00-99043272,Aarav,Kala,Female,Maharashtra,Mumbai,Bachelor,10/23/1999,2/1/2020,,Operations,Operations Manager,1398168,Good,Yes
00-82675403,Nitara,Rattan,Male,Maharashtra,Mumbai,PhD,9/26/1968,8/7/2024,,Sales,Sales Consultant,657428,Good,No
00-93304578,Krish,Bava,Male,Maharashtra,Pune,Bachelor,8/16/1992,1/10/2018,,IT,Software Developer,898784,Good,No
00-46874043,Jayan,Ray,Female,Maharashtra,Pune,Bachelor,2/10/2003,4/16/2020,,Operations,Inventory Specialist,405492,Good,No
00-63402482,Dhanush,Khalsa,Male,Maharashtra,Nagpur,Bachelor,7/8/1985,11/4/2017,,Customer Service,Support Specialist,310946,Good,No
00-17267644,Ryan,Srinivasan,Female,Maharashtra,Mumbai,Bachelor,12/9/1995,5/25/2020,,Marketing,SEO Specialist,347952,Satisfactory,No
00-82580645,Ayesha,Wason,Male,Maharashtra,Pune,Master,10/6/1996,8/29/2015,,Operations,Operations Analyst,434183,Satisfactory,No
00-33461307,Divij,Rege,Female,Karnataka,Mysuru,High School,8/16/1978,7/18/2019,,Operations,Inventory Specialist,353119,Good,No
00-79552316,Kabir,Goyal,Female,Maharashtra,Mumbai,Bachelor,9/3/1984,11/19/2019,,Operations,Logistics Coordinator,281005,Good,Yes
00-11586450,Tushar,Chander,Male,Maharashtra,Pune,Bachelor,3/1/1972,6/12/2022,,Customer Service,Help Desk Technician,425833,Satisfactory,No
00-23522144,Prerak,Kannan,Male,Madhya Pradesh,Gwalior,Bachelor,9/7/1994,6/19/2018,,Operations,Inventory Specialist,277574,Good,No
00-44856447,Mamooty,Toor,Female,Madhya Pradesh,Indore,Bachelor,10/26/1990,4/8/2017,,Operations,Inventory Specialist,387597,Excellent,No
00-46159360,Biju,Borra,Male,Gujarat,Surat,Bachelor,10/28/1999,10/1/2019,,Operations,Logistics Coordinator,527903,Good,No
00-59113508,Nitya,Bava,Male,Maharashtra,Mumbai,Bachelor,12/14/1960,2/1/2017,,Finance,Accountant,429134,Satisfactory,No
00-66249702,Shray,Swamy,Female,Madhya Pradesh,Indore,PhD,10/21/1965,7/17/2022,,Sales,Sales Consultant,719627,Satisfactory,No
00-63766628,Tanya,Raja,Male,Madhya Pradesh,Indore,Bachelor,3/8/1966,3/24/2017,,Sales,Sales Representative,411577,Needs Improvement,No
00-27601200,Biju,Trivedi,Male,Maharashtra,Nagpur,High School,8/30/1985,5/21/2024,,IT,IT Support Specialist,424571,Satisfactory,No
00-23404289,Elakshi,Kadakia,Male,Maharashtra,Mumbai,High School,8/22/1979,12/18/2022,,Marketing,SEO Specialist,785322,Good,No
00-68011418,Piya,Verma,Male,Maharashtra,Mumbai,PhD,8/21/1975,12/7/2023,,Finance,Financial Analyst,652174,Excellent,No
00-30072000,Kaira,Wadhwa,Male,Maharashtra,Nagpur,Master,8/7/1975,3/27/2019,,Operations,Operations Analyst,423450,Good,No
00-66575546,Rohan,Baral,Male,Maharashtra,Mumbai,Bachelor,4/15/2004,5/24/2020,,Operations,Inventory Specialist,452183,Good,Yes
00-81669929,Riya,Badal,Male,Maharashtra,Mumbai,Bachelor,3/24/1976,7/2/2022,,Customer Service,Help Desk Technician,354362,Good,No
00-43685164,Ela,Sura,Male,Maharashtra,Nagpur,Bachelor,1/4/1978,7/27/2020,,Marketing,Content Creator,600864,Excellent,No
00-63472598,Miraya,Borah,Female,Maharashtra,Pune,High School,12/15/1974,2/13/2016,,Customer Service,Customer Service Representative,322129,Good,No
00-38919534,Tanya,Kapur,Female,Madhya Pradesh,Indore,Bachelor,10/6/1977,3/4/2023,,Operations,Inventory Specialist,346702,Good,No
00-94538675,Ivan,Cherian,Male,Maharashtra,Pune,Bachelor,12/2/1959,10/22/2016,,Finance,Accounts Payable Specialist,560597,Good,No
00-44865621,Gokul,Bail,Female,Madhya Pradesh,Gwalior,Master,4/18/1961,6/4/2018,,IT,Software Developer,1031030,Good,No
00-44589898,Pihu,Kalla,Male,Maharashtra,Mumbai,Bachelor,4/4/1983,3/15/2018,,Customer Service,Customer Service Representative,384139,Good,No
00-57122567,Mishti,Borah,Female,Maharashtra,Mumbai,Master,4/12/1968,10/31/2023,,IT,System Administrator,831475,Excellent,No
00-87424000,Pranay,Dutta,Female,Maharashtra,Pune,Bachelor,8/23/1975,11/28/2020,,Sales,Sales Consultant,800854,Good,No
00-33426205,Zara,Bandi,Male,Maharashtra,Mumbai,Bachelor,4/27/1982,2/1/2024,,Operations,Inventory Specialist,425832,Satisfactory,No
00-53632879,Ivana,Issac,Male,Bihar,Gaya,Bachelor,12/7/1976,7/20/2022,,Marketing,Content Creator,325006,Excellent,No
00-69985944,Raghav,Lad,Female,Maharashtra,Pune,Bachelor,3/6/1984,6/16/2023,,Operations,Logistics Coordinator,554424,Excellent,No
00-48456543,Abram,Srivastava,Male,Maharashtra,Mumbai,Bachelor,8/1/2001,9/12/2019,,Customer Service,Support Specialist,431890,Good,Yes
00-32491607,Khushi,Lal,Male,Maharashtra,Mumbai,High School,1/11/1991,10/12/2021,,Customer Service,Customer Service Representative,235844,Satisfactory,No
00-94728082,Faiyaz,Johal,Female,Maharashtra,Pune,Bachelor,7/30/1970,2/24/2021,,Customer Service,Help Desk Technician,375441,Satisfactory,No
00-19575640,Jiya,Raja,Female,Maharashtra,Pune,Master,5/23/1982,7/31/2016,,IT,Software Developer,632549,Good,No
00-52074850,Divyansh,Bera,Male,Maharashtra,Nagpur,Bachelor,9/21/1976,7/24/2018,,HR,HR Assistant,260128,Good,Yes
00-45899536,Divyansh,Srivastava,Male,Bihar,Patna,High School,8/1/1959,4/15/2021,,IT,IT Support Specialist,398179,Good,No
00-69713250,Heer,Wable,Female,Maharashtra,Mumbai,Bachelor,5/16/1972,5/6/2023,,Customer Service,Customer Service Representative,386240,Good,No
00-88775038,Zain,Deo,Male,Madhya Pradesh,Bhopal,Bachelor,12/3/1967,5/19/2020,,Operations,Operations Analyst,719447,Good,No
00-32457056,Aradhya,Mangal,Male,Maharashtra,Mumbai,Bachelor,5/20/1976,8/10/2017,,Marketing,Content Creator,427268,Good,Yes
00-41491128,Armaan,Chadha,Male,Maharashtra,Mumbai,High School,10/18/1959,4/11/2022,,Operations,Inventory Specialist,339410,Satisfactory,Yes
00-20746107,Hridaan,Ranganathan,Male,Maharashtra,Nagpur,High School,4/28/2001,8/10/2017,,Operations,Inventory Specialist,399885,Good,No
00-22825003,Rania,Iyer,Female,Bihar,Bhagalpur,Master,8/30/2002,1/15/2016,,Sales,Sales Specialist,634156,Good,No
00-17224328,Shalv,Sant,Male,Tamil Nadu,Chennai,Bachelor,12/18/1978,3/28/2015,,Customer Service,Help Desk Technician,624321,Excellent,Yes
00-21173787,Shanaya,Khanna,Female,Maharashtra,Pune,Bachelor,3/17/1978,12/2/2016,,Marketing,SEO Specialist,580082,Excellent,Yes
00-21316066,Umang,Anne,Male,Maharashtra,Mumbai,Bachelor,1/16/1998,5/3/2022,,Marketing,Content Creator,310065,Excellent,No
00-40783635,Yashvi,Doshi,Male,Maharashtra,Mumbai,Bachelor,5/12/1983,4/24/2017,,Sales,Sales Representative,413886,Satisfactory,No
00-94084814,Ayesha,Varughese,Male,Karnataka,Mysuru,Bachelor,5/7/2003,9/11/2016,,Operations,Inventory Specialist,422174,Good,No
00-32898616,Divyansh,Vig,Male,Bihar,Bhagalpur,High School,11/11/1962,3/24/2015,,IT,IT Support Specialist,445371,Satisfactory,No
00-53647781,Rohan,Sharaf,Female,Maharashtra,Nagpur,Master,12/15/1982,6/11/2023,,Operations,Operations Analyst,434566,Good,Yes
00-82555977,Samarth,Desai,Male,Maharashtra,Mumbai,Bachelor,1/8/1980,9/23/2024,,Operations,Logistics Coordinator,515973,Good,Yes
00-28134815,Lavanya,Roy,Male,Maharashtra,Pune,Bachelor,11/13/1990,2/2/2024,,Operations,Operations Analyst,628395,Good,No
00-33761455,Ahana ,Cherian,Female,Maharashtra,Nagpur,PhD,10/28/1979,11/29/2020,,Sales,Sales Consultant,710334,Good,No
00-95342494,Yuvraj ,Shanker,Male,Maharashtra,Pune,Bachelor,8/4/1971,6/26/2023,,Sales,Sales Representative,258050,Needs Improvement,No
00-95870691,Ela,Vig,Female,Maharashtra,Nagpur,Bachelor,4/27/1971,5/17/2021,,Operations,Logistics Coordinator,338232,Good,Yes
00-74646194,Bhavin,Kurian,Female,Maharashtra,Pune,Bachelor,3/12/1980,10/15/2020,,Marketing,Content Creator,522019,Satisfactory,No
00-51321368,Chirag,Dugal,Female,Bihar,Patna,High School,7/10/1979,9/16/2018,,HR,Recruiter,407529,Satisfactory,No
00-50744867,Yuvaan,Bir,Female,Bihar,Gaya,Bachelor,12/6/2000,10/12/2015,,IT,IT Support Specialist,218206,Good,No
00-28293937,Eshani,Wable,Male,Bihar,Gaya,High School,4/4/2003,7/26/2018,,Marketing,SEO Specialist,548422,Good,Yes
00-11116303,Jayant,Char,Male,Bihar,Bhagalpur,Bachelor,4/12/1983,11/15/2022,,Sales,Sales Representative,247124,Satisfactory,Yes
00-74030858,Krish,Toor,Male,Maharashtra,Pune,Bachelor,9/7/1974,1/21/2017,,Customer Service,Support Specialist,275538,Satisfactory,Yes
00-49315407,Arhaan,Kari,Male,Maharashtra,Nagpur,High School,8/29/1962,1/19/2020,,IT,IT Support Specialist,439236,Satisfactory,No
00-60149632,Taran,Sarraf,Male,Maharashtra,Nagpur,Bachelor,1/11/1985,3/14/2017,,Operations,Inventory Specialist,389786,Good,No
00-62982727,Tushar,Tata,Male,Maharashtra,Nagpur,High School,1/29/1973,6/18/2017,,Customer Service,Help Desk Technician,562171,Good,Yes
00-96703417,Vivaan,Ravi,Female,Maharashtra,Mumbai,Bachelor,7/19/1983,12/2/2018,,Customer Service,Support Specialist,427528,Satisfactory,No
00-45296615,Pihu,Aurora,Male,Gujarat,Surat,Bachelor,4/16/1981,3/29/2016,,Sales,Sales Representative,556969,Satisfactory,No
00-79338228,Ayesha,Rajan,Female,Maharashtra,Nagpur,Bachelor,12/2/1979,6/12/2022,,Sales,Sales Representative,340601,Good,No
00-46489118,Anika,Raj,Female,Maharashtra,Mumbai,Bachelor,12/4/1967,7/20/2017,,Marketing,Content Creator,496918,Good,Yes
00-46080681,Shray,Bumb,Male,Maharashtra,Mumbai,Master,3/28/1970,11/1/2019,,Sales,Sales Specialist,433777,Excellent,No
00-28337367,Pranay,Shere,Female,Maharashtra,Mumbai,Master,3/24/1961,10/30/2017,,Operations,Operations Analyst,383324,Good,No
00-92910238,Divij,Dhar,Male,Maharashtra,Pune,Bachelor,5/4/2001,1/10/2019,,Operations,Logistics Coordinator,335479,Good,No
00-76034587,Badal,Bumb,Male,Maharashtra,Pune,Bachelor,8/24/2001,11/7/2017,,Finance,Accountant,721049,Satisfactory,No
00-16661503,Vanya,Chhabra,Female,Maharashtra,Mumbai,High School,8/9/1967,11/8/2024,,Marketing,Content Creator,480762,Good,No
00-23726915,Neelofar,Chowdhury,Male,Maharashtra,Pune,Bachelor,2/26/1981,9/4/2017,,IT,Software Developer,912828,Good,No
00-68843284,Priyansh,Sachdev,Male,Gujarat,Vadodara,High School,2/18/2000,5/30/2022,,Customer Service,Support Specialist,371316,Good,No
00-30224423,Akarsh,Venkatesh,Male,Madhya Pradesh,Gwalior,Bachelor,5/26/1994,10/12/2015,,Operations,Inventory Specialist,374811,Good,No
00-66404064,Tiya,Sanghvi,Female,Madhya Pradesh,Indore,High School,3/24/1975,1/4/2018,,Customer Service,Customer Service Representative,407697,Satisfactory,Yes
00-72234675,Hansh,Sabharwal,Female,Maharashtra,Pune,Bachelor,1/21/1976,3/5/2022,,IT,Software Developer,472179,Needs Improvement,No
00-20767361,Zaina,Agrawal,Male,Madhya Pradesh,Gwalior,High School,8/20/2001,3/23/2023,,Operations,Inventory Specialist,276487,Satisfactory,Yes
00-45769504,Mahika,Swaminathan,Male,Maharashtra,Pune,Bachelor,3/29/1963,12/10/2023,,Customer Service,Support Specialist,337511,Good,No
00-73102032,Riya,Savant,Female,Bihar,Bhagalpur,Bachelor,5/17/1979,8/22/2017,,Sales,Sales Representative,537953,Satisfactory,No
00-61214452,Aarna,Wason,Female,Maharashtra,Nagpur,Bachelor,3/15/1992,5/18/2023,,Sales,Sales Representative,258837,Satisfactory,Yes
00-43415162,Stuvan,Karpe,Male,Maharashtra,Nagpur,Bachelor,9/25/1976,4/2/2018,,Marketing,Content Creator,495476,Good,No
00-14497675,Anahita,Dora,Male,Bihar,Patna,Bachelor,10/28/1965,9/4/2017,,Customer Service,Support Specialist,283440,Satisfactory,No
00-22611138,Misha,Issac,Female,Maharashtra,Pune,Master,4/3/1973,8/1/2020,,Operations,Operations Analyst,555111,Needs Improvement,Yes
00-62227199,Aarush,Kumer,Male,Maharashtra,Mumbai,Bachelor,12/20/1981,12/30/2022,,Operations,Inventory Specialist,475920,Good,No
00-31288466,Umang,Mand,Male,Maharashtra,Nagpur,Master,3/16/1977,8/24/2021,,Finance,Financial Analyst,592765,Good,No
00-83763371,Mahika,Dhaliwal,Male,Maharashtra,Pune,Bachelor,4/5/1977,4/18/2020,,Operations,Operations Analyst,502992,Needs Improvement,Yes
00-95700705,Emir,Khosla,Female,Maharashtra,Pune,Bachelor,1/8/1983,1/24/2017,,Operations,Logistics Coordinator,546392,Good,Yes
00-99482259,Raghav,Reddy,Female,Maharashtra,Pune,Bachelor,12/19/1982,4/29/2017,,Customer Service,Help Desk Technician,371107,Good,No
00-94947603,Raghav,De,Female,Maharashtra,Mumbai,High School,5/28/1975,8/27/2019,,Operations,Inventory Specialist,286229,Satisfactory,No
00-47057520,Nehmat,Dixit,Male,Maharashtra,Pune,High School,3/18/1983,3/9/2020,,Customer Service,Help Desk Technician,356248,Satisfactory,No
00-42626898,Ela,Singhal,Female,Tamil Nadu,Coimbatore,Master,10/13/1974,3/29/2015,,IT,System Administrator,633610,Satisfactory,Yes
00-73789750,Bhavin,Swaminathan,Female,Maharashtra,Nagpur,Bachelor,10/29/1991,11/9/2022,,Sales,Sales Specialist,380465,Satisfactory,Yes
